company_size,industry,engagement_score,industry_score,converted
42,technology,0.18807714821963917,0.8,0.45865083473357104
16,healthcare,0.17038904718260278,0.6,0.2293415313917161
53,retail,0.5113794216617825,0.4,0.4777116349487828
197,manufacturing,0.3187926134249929,0.5,0.4134684545887734
14,finance,0.38443917876873124,0.7,0.45073239992430886
14,technology,0.08509754204182036,0.8,0.3768552840467724
214,healthcare,0.46107476462978864,0.6,0.5128703254669111
63,manufacturing,0.32635370739291586,0.5,0.5434788790771548
9,retail,0.061166004017208314,0.4,0.1594034522509189
45,healthcare,0.40114268130399333,0.6,0.46473425041816824
10,finance,0.24477612748229002,0.7,0.34865257005202455
9,healthcare,0.3029297887473493,0.6,0.3336410303917558
28,manufacturing,0.14104600115797883,0.5,0.3147323165291681
1,finance,0.3111341584085398,0.7,0.11989987814639434
1,technology,0.041267270796390775,0.8,0.15379767165647468
8,healthcare,0.09700042854835157,0.6,0.2695407636185533
4,finance,0.518279123227247,0.7,0.19575121866293158
32,healthcare,0.24222686935336932,0.6,0.3821034589611409
5,technology,0.1906115858315407,0.8,0.14050072691987384
2,finance,0.30470718607876096,0.7,0.16481923902053347
180,retail,0.3650678401638388,0.4,0.5187731936929636
14,finance,0.260922101201585,0.7,0.42480841928507235
22,manufacturing,0.6936340536872929,0.5,0.5851052726385793
2,retail,0.33662365108226433,0.4,0.11215756399439103
8,finance,0.2474069454482423,0.7,0.3734325023126303
23,finance,0.027694738639286964,0.7,0.2437511324306225
3,retail,0.14422956428693057,0.4,0.1
35,finance,0.2546667775130191,0.7,0.3119953884241982
8,manufacturing,0.04526501855331406,0.5,0.2551841712884825
12,technology,0.3606940684081248,0.8,0.49274605973441044
8,technology,0.08449406368750892,0.8,0.32000220875813246
323,technology,0.21209454162343264,0.8,0.5896217890427387
19,healthcare,0.2483381893458687,0.6,0.3663938195006832
4,retail,0.580201332137847,0.4,0.1
68,technology,0.7212255221637432,0.8,0.9
3,healthcare,0.43398413035096833,0.6,0.2263866709012457
27,technology,0.1612453190505989,0.8,0.42819508442501664
1,healthcare,0.24283244609067495,0.6,0.17935278275549124
2,technology,0.18227065441867055,0.8,0.1
26,healthcare,0.20804987411960596,0.6,0.3595079694409388
60,healthcare,0.20317336019985935,0.6,0.3289929449694342
25,technology,0.1402729192553797,0.8,0.40618836449912565
16,retail,0.37039158265357325,0.4,0.29525674817796255
12,healthcare,0.41555497260120156,0.6,0.423330135016837
2,healthcare,0.14911219575772644,0.6,0.14042321510199704
6,healthcare,0.15909719478502557,0.6,0.25463299826052344
10,retail,0.48157914618094244,0.4,0.2455979680380587
98,healthcare,0.1397835823791204,0.6,0.32374267369309734
33,manufacturing,0.3562642082791719,0.5,0.4941078457333046
1,manufacturing,0.5183704700150183,0.5,0.1096831884558103
32,retail,0.10716608243195874,0.4,0.2532523698397912
11,manufacturing,0.16333184590693575,0.5,0.35220117712387095
7,manufacturing,0.17483754679405505,0.5,0.1824256528777351
50,finance,0.21954898136087586,0.7,0.4262855258587434
94,manufacturing,0.2871507850131706,0.5,0.39778740838649096
81,finance,0.17676556883835243,0.7,0.35974801990177957
5,technology,0.3351864697934225,0.8,0.2378219784602026
12,manufacturing,0.3777862465574726,0.5,0.4786503027064182
33,technology,0.7762620302354122,0.8,0.9
86,healthcare,0.48534863873533607,0.6,0.5045607694147008
9,manufacturing,0.35980030333131907,0.5,0.30526591529560343
15,technology,0.255745785101843,0.8,0.43567661482818143
3,finance,0.2215783663601519,0.7,0.13017551997481802
3,healthcare,0.46109518784436365,0.6,0.16911403988184234
67,retail,0.20633772657871807,0.4,0.28962828185279
153,retail,0.21003909726590703,0.4,0.30501273574816823
18,manufacturing,0.1405409611811266,0.5,0.2844872143668463
90,technology,0.22099818630927134,0.8,0.3866466779513168
34,finance,0.11974015409509728,0.7,0.39826461518461537
7,retail,0.2628605875995264,0.4,0.13804575262362695
34,retail,0.2113100941794713,0.4,0.3078308826335918
201,finance,0.2790837731559021,0.7,0.4484874047839506
19,finance,0.25761443889021973,0.7,0.4352548937270009
209,finance,0.380635444359141,0.7,0.5460968561755856
1,manufacturing,0.27411278876934325,0.5,0.14017445223564365
68,manufacturing,0.33626273948063345,0.5,0.35131220469654867
22,technology,0.3377355150091696,0.8,0.4663660500157825
12,finance,0.30778350740906385,0.7,0.4979637999177775
23,finance,0.323484444367652,0.7,0.42273431122478317
1,manufacturing,0.22464606819846733,0.5,0.15739327492850905
14,manufacturing,0.5467485698375772,0.5,0.48017361295970906
34,healthcare,0.31428311254279545,0.6,0.39822732008520983
184,technology,0.06482943400184607,0.8,0.3949836377071291
9,technology,0.13052436193575315,0.8,0.31136407284930734
5,finance,0.31217421547118535,0.7,0.20540793206154717
9,manufacturing,0.2333071366870476,0.5,0.2716695796442935
79,technology,0.27332760428748115,0.8,0.49922825527853204
32,retail,0.05546448431726309,0.4,0.27692018439038796
9,technology,0.335958568043282,0.8,0.47697793105835984
43,healthcare,0.07564832883051964,0.6,0.2710467509104524
23,retail,0.5203428523217881,0.4,0.45754314920613404
85,retail,0.17298164471428681,0.4,0.26625094618546896
7,retail,0.30424152447273983,0.4,0.17805885303876684
12,retail,0.13642264127095033,0.4,0.1191380655596504
11,finance,0.02974675073186207,0.7,0.23888065699472866
2,finance,0.12520107844167114,0.7,0.14658957180754292
31,retail,0.21996000210748307,0.4,0.35374515076204965
29,technology,0.0553918897832916,0.8,0.39347951390159086
20,healthcare,0.6616419142429724,0.6,0.5879783553288049
14,manufacturing,0.25967474897339465,0.5,0.41060101358949375
2,manufacturing,0.15725134587828707,0.5,0.1
10,retail,0.4359646646214816,0.4,0.29704685888276017
12,technology,0.21861854038476597,0.8,0.44874639342072886
6,manufacturing,0.3697019535963749,0.5,0.37575011915757434
15,manufacturing,0.11171762033148855,0.5,0.27581665579235076
36,retail,0.4471261282811125,0.4,0.4731934797294553
340,finance,0.13287196660514045,0.7,0.43610339549218513
26,healthcare,0.2539195946619572,0.6,0.39078257107312897
29,retail,0.25054655548545396,0.4,0.2958812752129292
17,retail,0.49527294697642654,0.4,0.21128064666971083
1,finance,0.2912484981018359,0.7,0.14766543582823108
19,finance,0.3089614168671636,0.7,0.3712011786123557
21,retail,0.41543966926022896,0.4,0.4304419645328968
808,retail,0.11849084709823264,0.4,0.2359003631641599
15,healthcare,0.21102563531309146,0.6,0.35966679212957803
31,finance,0.43572106658117465,0.7,0.4885874416476347
19,retail,0.3448062034825077,0.4,0.19183377471887267
3,technology,0.22377002011468838,0.8,0.13646959658609406
111,technology,0.3923230728224971,0.8,0.3943142087839563
62,healthcare,0.17338244715739407,0.6,0.33421595739187465
65,technology,0.17524361665573016,0.8,0.37488292744970986
5,retail,0.14976866932078414,0.4,0.1
164,retail,0.3276766006866578,0.4,0.5506293237810066
2,retail,0.16711142591087105,0.4,0.1
48,manufacturing,0.5072443893752041,0.5,0.5074912850634234
536,technology,0.7646940036923738,0.8,0.9
